FECHA_DE_MUESTREO,ESTACIONES,pH,TURBIEDAD_,SOLIDOS_TOTALES_,SOLIDOS_SUSPENDIDOS_TOTALES_,SOLIDOS_DISUELTOS_,DEMANDA_BIOQUIMICA_DE_OXIGENO_,DEMANDA_QUIMICA_DE_OXIGENO_,OXIGENO_DISUELTO_,CONDUCTIVIDAD_ELÉCTRICA_,COLIFORMES_TOTALES_,NITROGENO_TOTAL_,FOSFORO_TOTAL_
quinquenio1,ANTES SUAREZ,6.6,,157.0,29.3,127.7,0.5,5.2,5.6,73.9,,0.41,0.042
quinquenio1,ANTES RIO OVEJAS,6.7,,143.0,65.0,78.0,2.1,24.0,6.0,67.9,,,
quinquenio1,ANTES RIO TIMBA,6.8,,181.0,109.0,72.0,2.8,6.2,6.9,69.5,,,0.11
quinquenio1,PASO DE LA BALSA,7.1,,380.0,293.0,87.0,1.0,26.0,7.2,62.2,,,
quinquenio1,PASO DE LA BOLSA,6.9,,187.0,118.0,69.0,1.6,64.8,6.5,71.7,,,0.08
quinquenio1,PUENTE HORMIGUERO,6.8,,372.0,315.0,57.0,0.7,18.7,6.3,85.8,,,0.21
quinquenio1,ANTES INTERCEPTOR SUR,6.9,,238.0,175.0,63.0,3.0,10.4,5.8,82.6,,,0.2
quinquenio1,JUANCHITO,6.8,,,364.0,,2.0,16.0,5.7,90.0,,,0.28
quinquenio1,PASO DEL COMERCIO,7.1,,316.0,215.0,101.0,3.0,44.0,5.9,81.4,,,
quinquenio1,PUERTO ISAACS,7.0,,346.0,245.0,101.0,3.3,30.0,5.2,89.1,,,
quinquenio1,PASO DE LA TORRE,7.2,,397.0,21.7,85.3,3.0,37.0,3.4,110.6,,,
quinquenio1,VIJES,7.3,,536.0,421.7,114.3,5.1,48.0,2.4,127.3,,,
quinquenio1,YOTOCO,7.1,,464.0,345.0,119.0,0.8,51.0,1.6,139.0,,,
quinquenio1,MEDIACANOA,7.4,,562.0,411.7,150.3,5.3,45.0,1.5,13.7,,,
quinquenio1,RIOFRIO,7.3,,563.0,460.0,103.0,3.8,55.0,2.7,130.6,,,
quinquenio1,PUENTE GUAYABAL,7.3,,764.0,608.4,155.6,3.72,59.0,2.6,153.6,,,
quinquenio1,LA VICTORIA,7.4,,774.0,636.7,137.3,3.24,59.0,2.6,156.9,,,
quinquenio1,ANACARO,7.8,,978.0,818.4,159.6,3.24,59.0,3.0,157.9,,,
quinquenio1,PUENTE LA VIRGINIA,7.4,,678.0,551.7,126.3,2.28,44.0,3.3,153.6,,,
quinquenio1,ANTES SUAREZ,6.6,2.6,84.0,4.6,4.6,1.5,20.8,3.8,84.0,,,0.06
quinquenio1,ANTES RIO OVEJAS,6.5,,135.0,22.2,112.8,0.2,5.2,5.5,73.9,23.0,,0.042
quinquenio1,ANTES RIO TIMBA,7.1,,611.0,524.9,86.1,1.1,39.0,7.2,50.0,241000.0,,
quinquenio1,PASO DE LA BALSA,6.9,,231.0,132.9,98.1,0.6,4.1,6.4,72.8,,,0.1
quinquenio1,PASO DE LA BOLSA,7.3,,359.0,171.0,88.0,33.0,7.1,30.8,0.45,,,
quinquenio1,PUENTE HORMIGUERO,7.2,,464.0,360.0,104.0,39.0,6.5,37.4,15.1,,,
quinquenio1,ANTES INTERCEPTOR SUR,7.2,,358.0,271.0,87.0,33.0,6.5,39.6,3.1,,,
quinquenio1,JUANCHITO,7.2,220.0,638.0,243.3,394.7,1.6,24.0,5.3,82.2,,,0.268
quinquenio1,PASO DEL COMERCIO,7.0,180.0,530.0,435.0,95.0,2.3,24.0,5.2,88.5,,,0.21
quinquenio1,PUERTO ISAACS,7.0,120.0,350.0,246.0,104.0,1.8,16.0,4.7,,,,0.001
quinquenio1,PASO DE LA TORRE,6.8,,,576.0,,3.3,52.0,3.9,121.2,,,0.3
quinquenio1,VIJES,7.0,,220.0,147.0,73.0,1.9,17.7,2.8,113.4,,,0.24
quinquenio1,YOTOCO,7.5,,308.0,271.0,37.0,1.9,20.8,2.8,164.3,,,0.23
quinquenio1,MEDIACANOA,7.1,,526.0,466.0,,2.1,36.4,2.5,127.0,,,0.285
quinquenio1,RIOFRIO,6.6,,592.0,250.0,242.0,3.3,31.2,15.0,116.3,,,0.445
quinquenio1,PUENTE GUAYABAL,6.6,,546.0,129.9,218.5,1.3,23.9,2.6,122.4,,,0.32
quinquenio1,LA VICTORIA,6.7,,592.0,488.7,103.3,0.1,23.9,2.3,117.0,,,0.395
quinquenio1,ANACARO,6.8,73.0,321.0,137.8,183.2,4.7,27.0,2.0,140.0,,,0.28
quinquenio1,PUENTE LA VIRGINIA,6.7,45.0,260.0,91.3,168.7,4.5,21.8,3.2,137.0,,,0.2
quinquenio1,ANTES RIO OVEJAS,6.5,3.0,91.0,6.1,84.9,1.7,17.7,4.0,84.0,,,0.1
